UF;COD. UF;COD_MUNIC;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;15;1100015;Alta Floresta D'Oeste;25652
RO;11;379;1100379;Alto Alegre dos Parecis;13884
RO;11;403;1100403;Alto Paraíso;19841
RO;11;346;1100346;Alvorada D'Oeste;17228
RO;11;23;1100023;Ariquemes;102860
RO;11;452;1100452;Buritis;37207
RO;11;31;1100031;Cabixi;6424
RO;11;601;1100601;Cacaulândia;6318
RO;11;49;1100049;Cacoal;86556
RO;11;700;1100700;Campo Novo de Rondônia;14081
RO;11;809;1100809;Candeias do Jamari;23573
RO;11;908;1100908;Castanheiras;3653
RO;11;56;1100056;Cerejeiras;18013
RO;11;924;1100924;Chupinguaia;9887
RO;11;64;1100064;Colorado do Oeste;19001
RO;11;72;1100072;Corumbiara;8938
RO;11;80;1100080;Costa Marques;16258
RO;11;940;1100940;Cujubim;20204
RO;11;98;1100098;Espigão D'Oeste;32047
RO;11;1005;1101005;Governador Jorge Teixeira;10327
RO;11;106;1100106;Guajará-Mirim;46203
RO;11;1104;1101104;Itapuã do Oeste;9831
RO;11;114;1100114;Jaru;55669
RO;11;122;1100122;Ji-Paraná;129242
RO;11;130;1100130;Machadinho D'Oeste;36412
RO;11;1203;1101203;Ministro Andreazza;10860
RO;11;1302;1101302;Mirante da Serra;12414
RO;11;1401;1101401;Monte Negro;15710
RO;11;148;1100148;Nova Brasilândia D'Oeste;21511
RO;11;338;1100338;Nova Mamoré;26925
RO;11;1435;1101435;Nova União;7853
RO;11;502;1100502;Novo Horizonte do Oeste;10393
RO;11;155;1100155;Ouro Preto do Oeste;40010
RO;11;1450;1101450;Parecis;5589
RO;11;189;1100189;Pimenta Bueno;37230
RO;11;1468;1101468;Pimenteiras do Oeste;2432
RO;11;205;1100205;Porto Velho;494013
RO;11;254;1100254;Presidente Médici;22783
RO;11;1476;1101476;Primavera de Rondônia;3548
RO;11;262;1100262;Rio Crespo;3709
RO;11;288;1100288;Rolim de Moura;55807
RO;11;296;1100296;Santa Luzia D'Oeste;8706
RO;11;1484;1101484;São Felipe D'Oeste;6160
RO;11;1492;1101492;São Francisco do Guaporé;18640
RO;11;320;1100320;São Miguel do Guaporé;23803
RO;11;1500;1101500;Seringueiras;12543
RO;11;1559;1101559;Teixeirópolis;5041
RO;11;1609;1101609;Theobroma;11345
RO;11;1708;1101708;Urupá;13391
RO;11;1757;1101757;Vale do Anari;10682
RO;11;1807;1101807;Vale do Paraíso;8327
RO;11;304;1100304;Vilhena;89797
AC;12;13;1200013;Acrelândia;13613
AC;12;54;1200054;Assis Brasil;6610
AC;12;104;1200104;Brasiléia;23378
AC;12;138;1200138;Bujari;9173
