ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2015; Norte  ; Rondônia  ;237765,24;1768204;91044;49569;277290;64827;10833;983;55999;10669;499;1075;238;37;12;245;944;2520;12315;3946;989;63;3013;9738;463,2;551;490;424,9;500
2015; Norte  ; Acre  ;164123,964;803513;55406;33843;162822;43510;6675;632;26738;7402;501;1461;188;28;6;399;820;1761;7153;2204;336;49;1484;6077;448,8;541,9;483,3;413,7;520
2015; Norte  ; Amazonas  ;1559167,889;3938336;156595;139201;724925;189743;32404;2428;96411;11739;3340;4956;423;110;46;1423;1802;6162;31918;7713;1949;185;4594;15384;449,6;542,1;486,3;414,9;540
2015; Norte  ; Roraima  ;223644,527;505665;22221;21551;91651;22995;4346;230;10195;2190;364;645;144;19;2;100;333;1214;5290;1972;351;10;962;3888;457;545,7;490,2;419,5;520
2015; Norte  ; Pará  ;1245870,798;8175113;367330;291882;1475444;359979;36565;8785;221075;31601;6978;9927;771;135;102;2406;5357;14741;62497;14647;2302;496;16357;37512;456,5;549,1;491,4;423,9;520
2015; Norte  ; Amapá  ;142470,762;766679;54693;24269;136957;39616;7825;421;23791;4437;373;704;135;25;4;198;499;1344;7542;2638;586;21;1834;6501;452,8;542,8;488,5;415,7;520
2015; Norte  ; Tocantins  ;277466,763;1515126;68022;60675;252125;68654;11793;1639;20923;11491;841;1356;313;74;39;286;1098;4122;12340;4550;1050;248;2304;10433;454,9;545,8;485;425,4;520
2015; Nordeste  ; Maranhão  ;329642,182;6904241;268361;333177;1238309;312111;35001;6285;171517;30607;8915;10540;1030;140;208;3342;5407;19346;67899;18601;2239;611;12595;40022;450,3;542,4;486,2;419,6;520
2015; Nordeste  ; Piauí  ;251756,515;3204028;153892;134348;506726;142843;48386;10347;87674;13133;3341;4140;642;140;214;1311;2719;7955;30093;10286;3134;820;8132;18902;457;547,7;488,8;427,3;520
2015; Nordeste  ; Ceará  ;148894,441;8904459;459430;383009;1273185;373407;86157;4818;162683;41341;5702;6066;939;234;96;1851;5520;22937;60241;20210;5097;313;9232;47504;457,9;554,4;494,8;438,4;540
2015; Nordeste  ; Rio Grande do Norte  ;52809,602;3442175;179907;143434;486565;129452;40176;2483;75709;15268;2210;2801;438;116;36;788;2373;8305;22505;6592;2229;183;4566;17022;468,5;560,8;501,5;436,6;540
2015; Nordeste  ; Paraíba  ;56467,242;3972202;204060;141786;578115;133183;23893;4426;133640;16671;3989;4641;558;108;67;1943;2863;8362;31349;10128;2231;265;10626;19106;461,7;557,8;497;431,9;540
2015; Nordeste  ; Pernambuco  ;98067,881;9345173;390112;323356;1327947;364620;100817;9545;203679;31207;6851;7766;1142;287;106;2115;4710;17461;59017;20025;5612;407;14396;33851;464;558,5;501;439,2;540
2015; Nordeste  ; Alagoas  ;27843,295;3340932;137247;115877;523412;123281;24609;2937;113228;15704;2128;2578;370;102;34;1263;1983;6433;21680;6206;1458;112;6642;15723;454;544,1;485,9;422;520
2015; Nordeste  ; Sergipe  ;21925,424;2242937;107787;76755;344083;81799;12202;1669;43263;7341;1555;1929;271;40;21;422;1328;4116;16438;4700;888;104;2798;9428;459,8;551,8;490,7;427,3;540
2015; Nordeste  ; Bahia  ;564760,427;15203934;580401;500089;2125314;553472;114131;3014;370399;62645;12734;15578;1575;339;72;4239;9973;28640;106861;34428;8371;389;25881;66903;459,8;556;496,3;426,8;520
2015; Sudeste  ; Minas Gerais  ;586521,123;20869101;869386;720421;2671665;787359;160505;12294;308405;111014;8805;11252;3069;1006;77;2812;10127;51343;148111;60043;12824;666;26386;114466;485,7;575,6;518,6;468,4;540
2015; Sudeste  ; Espírito Santo  ;46074,447;3929911;153992;168563;509074;131715;46288;523;64014;19035;1622;2266;446;219;4;444;2194;12148;26727;9263;4513;28;5162;25465;481;570,9;513;460,5;540
