COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1100015; 571 ; 4.108 ; 888 ; -   ; -   ; 477 ; 176 ; 9 ; 33 ; 3 ; -   ; -   ; 2 ; 17 ; 51 ; 232 ; 73 ; -   ; -   ; 44 ; 164 
1100379; 206 ; 2.219 ; 416 ; -   ; -   ; 61 ; 75 ; 2 ; 10 ; 1 ; -   ; -   ; 2 ; 11 ; 9 ; 102 ; 45 ; -   ; -   ; 15 ; 69 
1100403; 211 ; 2.798 ; 576 ; -   ; -   ; 308 ; 80 ; 3 ; 15 ; 1 ; -   ; -   ; 2 ; 10 ; 6 ; 129 ; 22 ; -   ; -   ; 24 ; 88 
1100346; 413 ; 2.389 ; 501 ; -   ; -   ; 332 ; 173 ; 9 ; 11 ; 2 ; -   ; -   ; 2 ; 14 ; 42 ; 144 ; 31 ; -   ; -   ; 28 ; 123 
1100023; 3.296 ; 16.167 ; 3.901 ; 849 ; 121 ; 2.660 ; 866 ; 26 ; 35 ; 8 ; 3 ; 2 ; 12 ; 46 ; 131 ; 671 ; 248 ; 69 ; 8 ; 153 ; 720 
1100452; 714 ; 6.235 ; 1.201 ; -   ; -   ; 740 ; 398 ; 11 ; 30 ; 4 ; -   ; -   ; 4 ; 20 ; 29 ; 223 ; 90 ; -   ; -   ; 50 ; 186 
1100031; 183 ; 953 ; 185 ; -   ; -   ; 69 ; 45 ; 4 ; 6 ; 2 ; -   ; -   ; 1 ; 5 ; 10 ; 62 ; 22 ; -   ; -   ; 10 ; 41 
1100601; 119 ; 929 ; 202 ; -   ; -   ; 36 ; 33 ; 3 ; 4 ; 1 ; -   ; -   ; 2 ; 3 ; 8 ; 48 ; 17 ; -   ; -   ; 9 ; 39 
1100049; 2.615 ; 12.804 ; 3.749 ; 1.527 ; 117 ; 2.263 ; 865 ; 28 ; 45 ; 17 ; 5 ; 1 ; 4 ; 53 ; 124 ; 548 ; 263 ; 173 ; 14 ; 73 ; 647 
1100700; 314 ; 2.154 ; 356 ; -   ; -   ; 146 ; 57 ; 6 ; 7 ; 2 ; -   ; -   ; 2 ; 7 ; 13 ; 88 ; 30 ; -   ; -   ; 18 ; 68 
1100809; 986 ; 4.243 ; 678 ; -   ; -   ; 1.072 ; 109 ; 9 ; 13 ; 2 ; -   ; -   ; 6 ; 13 ; 34 ; 153 ; 49 ; -   ; -   ; 66 ; 130 
1100908; 60 ; 582 ; 137 ; -   ; -   ; 15 ; 19 ; 2 ; 4 ; 1 ; -   ; -   ; 1 ; 4 ; 5 ; 37 ; 9 ; -   ; -   ; 8 ; 27 
1100056; 672 ; 2.478 ; 491 ; -   ; -   ; 526 ; 137 ; 11 ; 10 ; 2 ; -   ; -   ; 2 ; 14 ; 42 ; 112 ; 25 ; -   ; -   ; 36 ; 106 
1100924; 378 ; 1.859 ; 450 ; -   ; -   ; -   ; 46 ; 9 ; 12 ; 2 ; -   ; -   ; -   ; 6 ; 18 ; 98 ; 47 ; -   ; -   ; -   ; 77 
1100064; 479 ; 2.517 ; 954 ; 551 ; -   ; 423 ; 244 ; 5 ; 13 ; 3 ; 1 ; -   ; 2 ; 16 ; 40 ; 146 ; 93 ; 55 ; -   ; 29 ; 167 
1100072; 157 ; 1.357 ; 247 ; -   ; -   ; 158 ; 30 ; 1 ; 7 ; 3 ; -   ; -   ; 2 ; 6 ; 8 ; 70 ; 43 ; -   ; -   ; 15 ; 47 
1100080; 464 ; 2.759 ; 470 ; -   ; -   ; 395 ; 121 ; 6 ; 11 ; 2 ; -   ; -   ; 2 ; 10 ; 25 ; 128 ; 48 ; -   ; -   ; 22 ; 105 
1100940; 520 ; 3.397 ; 501 ; -   ; -   ; 348 ; 53 ; 2 ; 7 ; 1 ; -   ; -   ; 2 ; 7 ; 19 ; 111 ; 23 ; -   ; -   ; 24 ; 80 
1100098; 804 ; 4.935 ; 1.183 ; -   ; 76 ; 522 ; 383 ; 9 ; 25 ; 4 ; -   ; 1 ; 2 ; 24 ; 38 ; 216 ; 75 ; -   ; 8 ; 18 ; 220 
1101005; 189 ; 1.567 ; 344 ; -   ; -   ; 198 ; 42 ; 3 ; 12 ; 2 ; -   ; -   ; 3 ; 11 ; 13 ; 93 ; 47 ; -   ; -   ; 32 ; 58 
1100106; 1.477 ; 8.839 ; 1.667 ; 495 ; 9 ; 1.637 ; 183 ; 19 ; 61 ; 7 ; 3 ; 1 ; 5 ; 28 ; 89 ; 358 ; 96 ; 35 ; 4 ; 64 ; 212 
1101104; 313 ; 1.896 ; 258 ; -   ; -   ; 464 ; 44 ; 3 ; 7 ; 1 ; -   ; -   ; 2 ; 7 ; 13 ; 77 ; 18 ; -   ; -   ; 25 ; 62 
1100114; 1.716 ; 8.265 ; 2.164 ; 181 ; 28 ; 1.326 ; 582 ; 18 ; 28 ; 10 ; 2 ; 1 ; 8 ; 31 ; 93 ; 432 ; 165 ; 20 ; 11 ; 108 ; 386 
1100122; 3.294 ; 19.638 ; 4.977 ; 1.699 ; 360 ; 3.903 ; 671 ; 28 ; 66 ; 23 ; 5 ; 2 ; 12 ; 70 ; 159 ; 827 ; 379 ; 117 ; 17 ; 155 ; 726 
1100130; 891 ; 6.203 ; 1.025 ; -   ; -   ; 1.090 ; 284 ; 15 ; 28 ; 4 ; -   ; -   ; 3 ; 25 ; 51 ; 254 ; 53 ; -   ; -   ; 27 ; 218 
1101203; 206 ; 1.399 ; 249 ; -   ; -   ; 91 ; 48 ; 2 ; 7 ; 1 ; -   ; -   ; 2 ; 7 ; 11 ; 83 ; 16 ; -   ; -   ; 8 ; 56 
1101302; 284 ; 1.924 ; 579 ; -   ; -   ; 297 ; 106 ; 6 ; 9 ; 2 ; -   ; -   ; 2 ; 10 ; 14 ; 90 ; 30 ; -   ; -   ; 20 ; 69 
1101401; 205 ; 2.685 ; 503 ; 60 ; -   ; 252 ; 64 ; 2 ; 9 ; 2 ; 1 ; -   ; 2 ; 9 ; 10 ; 127 ; 37 ; 18 ; -   ; 26 ; 94 
1100148; 417 ; 2.678 ; 691 ; -   ; -   ; 400 ; 94 ; 5 ; 8 ; 1 ; -   ; -   ; 2 ; 9 ; 25 ; 120 ; 20 ; -   ; -   ; 29 ; 87 
1100338; 779 ; 5.315 ; 855 ; -   ; 7 ; 832 ; 117 ; 47 ; 62 ; 4 ; -   ; 1 ; 6 ; 22 ; 75 ; 248 ; 64 ; -   ; 1 ; 51 ; 127 
1101435; 130 ; 1.146 ; 269 ; -   ; -   ; 113 ; 55 ; 3 ; 5 ; 1 ; -   ; -   ; 2 ; 5 ; 8 ; 54 ; 14 ; -   ; -   ; 15 ; 47 
1100502; 214 ; 1.395 ; 503 ; 147 ; -   ; 280 ; 33 ; 3 ; 5 ; 3 ; 1 ; -   ; 2 ; 6 ; 11 ; 76 ; 39 ; 14 ; -   ; 19 ; 58 
1100155; 1.431 ; 5.821 ; 1.089 ; 66 ; -   ; 1.246 ; 301 ; 13 ; 18 ; 5 ; 1 ; -   ; 4 ; 21 ; 60 ; 238 ; 95 ; 5 ; -   ; 63 ; 215 
1101450; 66 ; 743 ; 138 ; -   ; -   ; 13 ; 34 ; 1 ; 6 ; 2 ; -   ; -   ; 1 ; 4 ; 6 ; 41 ; 12 ; -   ; -   ; 1 ; 27 
1100189; 1.357 ; 5.810 ; 1.300 ; 154 ; 61 ; 1.924 ; 464 ; 13 ; 21 ; 5 ; 2 ; 2 ; 5 ; 27 ; 56 ; 259 ; 93 ; 26 ; 7 ; 53 ; 265 
1101468; 53 ; 435 ; 92 ; -   ; -   ; 24 ; 13 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 2 ; 3 ; 24 ; 29 ; -   ; -   ; 6 ; 38 
1100205; 16.335 ; 81.323 ; 16.786 ; 3.547 ; 461 ; 18.174 ; 2.366 ; 111 ; 233 ; 59 ; 10 ; 7 ; 68 ; 216 ; 735 ; 3.137 ; 1.014 ; 245 ; 50 ; 832 ; 2.432 
1100254; 751 ; 3.266 ; 693 ; -   ; -   ; 712 ; 97 ; 7 ; 15 ; 5 ; -   ; -   ; 3 ; 15 ; 40 ; 187 ; 81 ; -   ; -   ; 38 ; 134 
1101476; 122 ; 635 ; 159 ; -   ; -   ; -   ; 27 ; 3 ; 4 ; 2 ; -   ; -   ; -   ; 4 ; 11 ; 34 ; 38 ; -   ; -   ; -   ; 25 
1100262; 95 ; 679 ; 120 ; -   ; -   ; -   ; 18 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 6 ; 37 ; 10 ; -   ; -   ; -   ; 21 
1100288; 1.911 ; 8.713 ; 1.952 ; 217 ; -   ; 1.479 ; 407 ; 10 ; 19 ; 10 ; 1 ; -   ; 6 ; 23 ; 128 ; 431 ; 132 ; 13 ; -   ; 71 ; 340 
1100296; 211 ; 1.123 ; 243 ; -   ; -   ; 197 ; 45 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 5 ; 11 ; 62 ; 17 ; -   ; -   ; 21 ; 53 
1101484; 151 ; 937 ; 216 ; -   ; -   ; 69 ; 44 ; 3 ; 4 ; 2 ; -   ; -   ; 1 ; 5 ; 9 ; 48 ; 23 ; -   ; -   ; 11 ; 46 
1101492; 460 ; 2.976 ; 756 ; 86 ; -   ; 1.039 ; 53 ; 4 ; 12 ; 4 ; 1 ; -   ; 2 ; 9 ; 20 ; 126 ; 56 ; 9 ; -   ; 24 ; 95 
1100320; 651 ; 3.655 ; 850 ; -   ; -   ; 814 ; 95 ; 12 ; 15 ; 1 ; -   ; -   ; 2 ; 14 ; 39 ; 160 ; 42 ; -   ; -   ; 27 ; 119 
1101500; 196 ; 2.035 ; 433 ; 139 ; -   ; 408 ; 95 ; 5 ; 9 ; 1 ; 1 ; -   ; 1 ; 9 ; 11 ; 87 ; 19 ; 7 ; -   ; 12 ; 76 
1101559; 177 ; 720 ; 183 ; -   ; -   ; 37 ; 34 ; 3 ; 4 ; 1 ; -   ; -   ; 1 ; 4 ; 12 ; 38 ; 11 ; -   ; -   ; 8 ; 31 
1101609; 265 ; 1.695 ; 353 ; -   ; -   ; 294 ; 67 ; 7 ; 7 ; 1 ; -   ; -   ; 2 ; 8 ; 18 ; 92 ; 49 ; -   ; -   ; 37 ; 81 
1101708; 240 ; 1.897 ; 343 ; -   ; -   ; 269 ; 78 ; 1 ; 8 ; 1 ; -   ; -   ; 1 ; 7 ; 17 ; 82 ; 18 ; -   ; -   ; 31 ; 85 
1101757; 198 ; 1.561 ; 252 ; -   ; -   ; 274 ; 54 ; 7 ; 8 ; 1 ; -   ; -   ; 3 ; 8 ; 22 ; 78 ; 11 ; -   ; -   ; 19 ; 49 
1101807; 170 ; 1.218 ; 277 ; -   ; -   ; 51 ; 38 ; 2 ; 7 ; 1 ; -   ; -   ; 1 ; 6 ; 12 ; 62 ; 37 ; -   ; -   ; 9 ; 51 
1100304; 2.815 ; 13.927 ; 3.511 ; 762 ; 128 ; 2.914 ; 862 ; 22 ; 43 ; 12 ; 3 ; 2 ; 7 ; 48 ; 144 ; 573 ; 224 ; 57 ; 9 ; 115 ; 597 
1200013; 700 ; 2.592 ; 657 ; -   ; -   ; 414 ; 79 ; 8 ; 11 ; 3 ; -   ; -   ; 5 ; 10 ; 36 ; 90 ; 33 ; -   ; -   ; 20 ; 97 
1200054; 358 ; 2.427 ; 255 ; -   ; -   ; 281 ; 66 ; 13 ; 65 ; 2 ; -   ; -   ; 3 ; 13 ; 27 ; 143 ; 18 ; -   ; -   ; 16 ; 62 
1200104; 1.122 ; 4.368 ; 1.141 ; 17 ; -   ; 726 ; 193 ; 19 ; 66 ; 2 ; 1 ; -   ; 16 ; 28 ; 69 ; 193 ; 51 ; 4 ; -   ; 44 ; 155 
1200138; 539 ; 2.503 ; 451 ; -   ; -   ; 448 ; 87 ; 8 ; 35 ; 9 ; -   ; -   ; 9 ; 13 ; 24 ; 128 ; 41 ; -   ; -   ; 34 ; 86 
1200179; 449 ; 2.235 ; 541 ; -   ; -   ; 578 ; 116 ; 9 ; 15 ; 3 ; -   ; -   ; 11 ; 12 ; 22 ; 87 ; 34 ; -   ; -   ; 27 ; 94 
1200203; 4.659 ; 19.472 ; 5.918 ; 466 ; 27 ; 1.982 ; 1.523 ; 48 ; 148 ; 23 ; 6 ; 1 ; 34 ; 116 ; 285 ; 831 ; 283 ; 50 ; 4 ; 108 ; 889 
1200252; 676 ; 2.545 ; 651 ; -   ; -   ; 614 ; 128 ; 10 ; 18 ; 1 ; -   ; -   ; 2 ; 19 ; 31 ; 113 ; 28 ; -   ; -   ; 39 ; 121 
1200302; 1.233 ; 8.061 ; 1.611 ; -   ; -   ; 1.184 ; 195 ; 42 ; 136 ; 14 ; -   ; -   ; 35 ; 34 ; 79 ; 408 ; 92 ; -   ; -   ; 82 ; 171 
1200328; 1.051 ; 2.616 ; 480 ; -   ; -   ; 141 ; 64 ; 50 ; 68 ; 2 ; -   ; -   ; 2 ; 16 ; 72 ; 155 ; 32 ; -   ; -   ; 8 ; 61 
1200336; 1.205 ; 3.838 ; 894 ; -   ; 31 ; 789 ; 203 ; 33 ; 41 ; 7 ; -   ; 5 ; 21 ; 30 ; 71 ; 224 ; 84 ; -   ; 9 ; 64 ; 188 
1200344; 367 ; 2.242 ; 442 ; -   ; -   ; 439 ; 73 ; 4 ; 32 ; 1 ; -   ; -   ; 6 ; 10 ; 15 ; 83 ; 20 ; -   ; -   ; 28 ; 60 
1200351; 909 ; 4.644 ; 881 ; -   ; -   ; 563 ; 95 ; 34 ; 71 ; 1 ; -   ; -   ; 16 ; 22 ; 68 ; 283 ; 22 ; -   ; -   ; 34 ; 114 
1200385; 579 ; 3.174 ; 741 ; -   ; -   ; 648 ; 175 ; 14 ; 25 ; 5 ; -   ; -   ; 14 ; 21 ; 29 ; 136 ; 38 ; -   ; -   ; 42 ; 126 
1200807; 594 ; 3.763 ; 833 ; -   ; -   ; 559 ; 135 ; 14 ; 31 ; 9 ; -   ; -   ; 8 ; 16 ; 35 ; 164 ; 57 ; -   ; -   ; 43 ; 134 
1200393; 543 ; 2.868 ; 374 ; -   ; -   ; 498 ; 122 ; 24 ; 45 ; 1 ; -   ; -   ; 10 ; 25 ; 52 ; 166 ; 17 ; -   ; -   ; 22 ; 111 
1200401; 15.555 ; 61.572 ; 19.762 ; 3.791 ; 760 ; 10.604 ; 3.163 ; 82 ; 202 ; 53 ; 13 ; 5 ; 66 ; 219 ; 651 ; 2.319 ; 950 ; 215 ; 21 ; 478 ; 2.662 
1200427; 1.250 ; 3.660 ; 823 ; -   ; -   ; 1.691 ; 295 ; 39 ; 63 ; 11 ; -   ; -   ; 25 ; 49 ; 90 ; 227 ; 61 ; -   ; -   ; 105 ; 208 
1200435; 311 ; 1.909 ; 329 ; -   ; -   ; 135 ; 32 ; 12 ; 55 ; 3 ; -   ; -   ; 2 ; 16 ; 28 ; 111 ; 16 ; -   ; -   ; 11 ; 39 
1200500; 1.220 ; 7.605 ; 2.012 ; 261 ; -   ; 536 ; 207 ; 13 ; 142 ; 22 ; 2 ; -   ; 8 ; 38 ; 54 ; 381 ; 113 ; 26 ; -   ; 43 ; 230 
1200450; 996 ; 4.381 ; 1.150 ; -   ; -   ; 533 ; 200 ; 10 ; 29 ; 8 ; -   ; -   ; 10 ; 25 ; 40 ; 223 ; 85 ; -   ; -   ; 35 ; 177 
1200609; 1.539 ; 10.893 ; 1.997 ; 606 ; -   ; 1.229 ; 262 ; 29 ; 91 ; 15 ; 2 ; -   ; 29 ; 48 ; 78 ; 490 ; 117 ; 18 ; -   ; 59 ; 260 
1200708; 589 ; 3.116 ; 630 ; 211 ; -   ; 579 ; 85 ; 12 ; 57 ; 13 ; 1 ; -   ; 20 ; 25 ; 29 ; 179 ; 73 ; 35 ; -   ; 46 ; 97 
1300029; 725 ; 3.838 ; 705 ; 86 ; -   ; 669 ; 51 ; 43 ; 51 ; 3 ; 1 ; -   ; 30 ; 8 ; 34 ; 216 ; 54 ; 19 ; -   ; 60 ; 88 
