,AGRO INDUSTRIA E COMERCIO,ALIMENTOS,ALIMENTOS BEBIDAS,ARTES,ARTES E ARTESANATO,ARTIGOS DE FESTAS,ARTIGOS DE NATAL,AUDIO,AUTOMOTIVO,BEBES,BEBIDAS,BELEZA SAUDE,BRINQUEDOS,CAMA MESA BANHO,CASA CONFORTO,CASA CONFORTO 2,CASA CONSTRUCAO,CDS DVDS MUSICAIS,CINE FOTO,CLIMATIZACAO,CONSOLES GAMES,CONSTRUCAO FERRAMENTAS CONSTRUCAO,CONSTRUCAO FERRAMENTAS FERRAMENTAS,CONSTRUCAO FERRAMENTAS ILUMINACAO,CONSTRUCAO FERRAMENTAS JARDIM,CONSTRUCAO FERRAMENTAS SEGURANCA,COOL STUFF,DVDS BLU RAY,ELETRODOMESTICOS,ELETRODOMESTICOS 2,ELETRONICOS,ELETROPORTATEIS,ESPORTE LAZER,FASHION BOLSAS E ACESSORIOS,FASHION CALCADOS,FASHION ESPORTE,FASHION ROUPA FEMININA,FASHION ROUPA INFANTO JUVENIL,FASHION ROUPA MASCULINA,FASHION UNDERWEAR E MODA PRAIA,FERRAMENTAS JARDIM,FLORES,FRALDAS HIGIENE,INDUSTRIA COMERCIO E NEGOCIOS,INFORMATICA ACESSORIOS,INSTRUMENTOS MUSICAIS,LA CUISINE,LIVROS IMPORTADOS,LIVROS INTERESSE GERAL,LIVROS TECNICOS,MALAS ACESSORIOS,MARKET PLACE,MOVEIS COLCHAO E ESTOFADO,MOVEIS COZINHA AREA DE SERVICO JANTAR E JARDIM,MOVEIS DECORACAO,MOVEIS ESCRITORIO,MOVEIS QUARTO,MOVEIS SALA,MUSICA,PAPELARIA,PC GAMER,PCS,PERFUMARIA,PET SHOP,PORTATEIS CASA FORNO E CAFE,PORTATEIS COZINHA E PREPARADORES DE ALIMENTOS,RELOGIOS PRESENTES,SEGUROS E SERVICOS,SINALIZACAO E SEGURANCA,TABLETS IMPRESSAO IMAGEM,TELEFONIA,TELEFONIA FIXA,UNKNOWN,UTILIDADES DOMESTICAS
201609,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201610,0,1,0,0,0,0,0,2,12,14,0,48,27,8,0,0,0,0,0,10,10,0,0,0,0,0,8,0,0,0,2,0,19,9,1,0,1,0,1,0,5,0,1,4,21,0,0,0,1,1,0,13,0,0,72,6,0,0,0,0,0,0,33,4,0,0,5,0,0,0,10,5,2,12
201612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,3,2,0,0,0,0,0,0,34,41,0,85,43,49,0,2,0,0,0,4,23,1,0,0,0,0,40,2,0,8,11,6,88,35,1,0,2,0,1,2,58,0,0,0,31,1,0,0,2,0,5,6,0,1,184,10,8,10,2,14,0,1,34,15,0,0,11,1,0,0,26,22,13,28
201702,7,9,0,0,0,0,0,5,87,34,0,166,67,170,3,0,4,0,1,12,18,3,0,0,2,1,70,1,7,1,19,28,156,41,3,0,4,0,7,8,72,0,0,1,106,10,0,1,8,1,21,22,0,2,268,63,1,24,0,19,0,1,51,40,0,0,37,0,0,8,111,22,58,81
201703,2,24,5,5,0,0,0,14,87,44,5,211,103,296,13,3,10,0,0,17,50,4,0,0,0,2,123,5,11,2,37,31,199,68,14,1,1,0,9,6,150,0,0,2,174,10,0,0,25,2,38,17,0,3,332,78,0,24,1,57,0,0,107,45,0,0,81,0,1,5,173,21,63,209
201704,0,8,3,1,0,0,1,11,88,51,7,190,113,280,17,1,5,0,2,16,17,0,1,0,8,0,121,2,10,2,48,21,219,50,23,4,1,0,7,4,119,0,0,0,136,16,1,1,12,1,49,20,1,9,203,58,5,12,2,36,2,0,105,51,0,0,98,0,3,11,145,11,71,183
201705,4,3,17,8,1,0,0,17,128,108,1,293,200,377,38,0,7,0,1,8,29,1,2,0,8,0,249,4,32,9,68,18,318,114,22,4,5,1,4,7,141,0,0,2,322,21,1,0,20,3,70,22,3,9,289,56,9,34,0,66,1,0,145,73,0,0,137,0,4,7,224,11,96,310
201706,1,1,2,10,0,0,3,11,112,78,1,264,159,397,18,1,8,0,1,11,30,8,0,0,4,0,203,4,46,6,42,23,280,83,21,6,3,1,10,1,116,0,0,2,262,20,0,2,21,2,61,16,0,4,233,50,2,15,4,38,1,0,157,64,1,0,124,0,2,6,160,12,64,331
201707,1,7,8,3,1,1,2,7,120,129,3,321,208,597,44,1,2,5,0,5,48,6,0,1,8,0,230,4,37,7,97,34,395,88,20,1,5,0,9,3,190,0,0,2,326,32,4,0,13,2,74,13,1,11,321,116,5,31,1,81,0,0,127,86,0,0,168,0,6,2,145,9,63,278
