UF;COD. UF;COD_MUNIC;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;15;1100015;Alta Floresta D'Oeste;25.578
RO;11;379;1100379;Alto Alegre dos Parecis;13.940
RO;11;403;1100403;Alto Paraíso;20.210
RO;11;346;1100346;Alvorada D'Oeste;17.063
RO;11;23;1100023;Ariquemes;104.401
RO;11;452;1100452;Buritis;37.838
RO;11;31;1100031;Cabixi;6.355
RO;11;601;1100601;Cacaulândia;6.367
RO;11;49;1100049;Cacoal;87.226
RO;11;700;1100700;Campo Novo de Rondônia;14.220
RO;11;809;1100809;Candeias do Jamari;24.155
RO;11;908;1100908;Castanheiras;3.617
RO;11;56;1100056;Cerejeiras;17.986
RO;11;924;1100924;Chupinguaia;10.129
RO;11;64;1100064;Colorado do Oeste;18.817
RO;11;72;1100072;Corumbiara;8.842
RO;11;80;1100080;Costa Marques;16.651
RO;11;940;1100940;Cujubim;20.974
RO;11;98;1100098;Espigão D'Oeste;32.385
RO;11;1005;1101005;Governador Jorge Teixeira;10.127
RO;11;106;1100106;Guajará-Mirim;46.632
RO;11;1104;1101104;Itapuã do Oeste;9.995
RO;11;114;1100114;Jaru;55.738
RO;11;122;1100122;Ji-Paraná;130.419
RO;11;130;1100130;Machadinho D'Oeste;37.167
RO;11;1203;1101203;Ministro Andreazza;10.823
RO;11;1302;1101302;Mirante da Serra;12.360
RO;11;1401;1101401;Monte Negro;15.873
RO;11;148;1100148;Nova Brasilândia D'Oeste;21.592
RO;11;338;1100338;Nova Mamoré;27.600
RO;11;1435;1101435;Nova União;7.824
RO;11;502;1100502;Novo Horizonte do Oeste;10.276
RO;11;155;1100155;Ouro Preto do Oeste;39.924
RO;11;1450;1101450;Parecis;5.697
RO;11;189;1100189;Pimenta Bueno;37.512
RO;11;1468;1101468;Pimenteiras do Oeste;2.424
RO;11;205;1100205;Porto Velho;502.748(1)
RO;11;254;1100254;Presidente Médici;22.557
RO;11;1476;1101476;Primavera de Rondônia;3.501
RO;11;262;1100262;Rio Crespo;3.750
RO;11;288;1100288;Rolim de Moura;56.242
RO;11;296;1100296;Santa Luzia D'Oeste;8.532
RO;11;1484;1101484;São Felipe D'Oeste;6.103
RO;11;1492;1101492;São Francisco do Guaporé;19.002
RO;11;320;1100320;São Miguel do Guaporé;23.933
RO;11;1500;1101500;Seringueiras;12.581
RO;11;1559;1101559;Teixeirópolis;5.003
RO;11;1609;1101609;Theobroma;11.347
