ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2017; Norte  ; Rondônia  ;237765,24;1805788;80433;50236;272328;60537;9868;863;43581;12098;543;1027;241;38;13;201;952;2559;11609;3780;839;85;2483;10125;495;499,9;496,6;480,4;520
2017; Norte  ; Acre  ;164123,964;829619;53659;37746;159416;40226;3924;83;44745;8970;495;1407;216;20;3;413;834;1963;6957;2234;281;18;2868;6471;483;484,1;489,1;465,4;520
2017; Norte  ; Amazonas  ;1559167,889;4063614;165171;145793;713666;199808;29363;110;85929;15156;3455;4830;465;105;7;1202;1937;6728;32263;7963;2332;10;5331;19027;484,2;487,7;493,1;468,9;520
2017; Norte  ; Roraima  ;223644,527;522636;20215;24904;93652;22838;6114; -   ;10140;2510;393;656;158;18; -   ;113;376;1349;5110;2057;426; -   ;1121;3877;494,7;498;495,1;475,35;520
2017; Norte  ; Pará  ;1245870,798;8366628;356845;306557;1454390;359127;38456;1612;192228;39274;7058;9621;830;137;30;1954;5943;15930;62090;14410;2435;200;13942;42951;490,6;498,3;493,5;470,6;540
2017; Norte  ; Amapá  ;142470,762;797722;50852;24842;135995;37428;5914;77;23214;5405;392;705;140;21;1;205;527;1387;7379;2458;475;12;1930;6525;482,1;493,3;490,9;464,5;540
2017; Norte  ; Tocantins  ;277466,763;1550194;68397;63537;249691;65045;12740;520;18380;12566;838;1334;340;87;11;252;1148;4083;12911;4858;1272;87;2235;11284;488,8;492,3;491,4;476,2;540
2017; Nordeste  ; Maranhão  ;329642,182;7000229;287971;351008;1197628;318515;35751;461;170622;35877;8680;10117;1071;140;20;3234;5869;21330;69116;18177;2515;92;12251;45334;484;486,6;488,8;468,3;540
2017; Nordeste  ; Piauí  ;251756,515;3219257;147553;140475;488300;141248;51956;2189;177231;18050;3115;3725;638;142;72;1371;2964;9307;29903;11092;3193;277;11560;23225;488,8;493;491;476,7;540
2017; Nordeste  ; Ceará  ;148894,441;9020460;366345;396946;1221954;369610;80901;6278;169164;50626;5446;5845;951;231;145;1717;5689;25395;59607;18819;5067;458;8948;52700;495,4;508,3;505,4;496,2;560
2017; Nordeste  ; Rio Grande do Norte  ;52809,602;3507003;159076;146025;475645;126265;38922;1365;69114;17150;2157;2698;442;145;56;710;2385;8312;22086;6816;2402;228;4334;18036;502,1;509,8;507;493,4;540
2017; Nordeste  ; Paraíba  ;56467,242;4025558;189876;149067;568156;143636;25997;380;120721;19717;3709;4244;580;105;19;1555;2977;9043;30543;10354;2502;104;9534;22421;494,9;504,1;501,9;487,6;560
2017; Nordeste  ; Pernambuco  ;98067,881;9473266;367435;331942;1316293;352383;95511;5654;191697;36099;6675;7441;1124;239;39;1845;4975;18294;57615;18409;4434;514;12701;37428;495;505;505,8;492,8;540
2017; Nordeste  ; Alagoas  ;27843,295;3375823;121049;126384;503322;118933;23024;406;114049;20674;2056;2463;393;57;6;1159;2068;7376;21559;6520;1354;60;6598;17607;485,2;489,8;492,1;473,4;540
2017; Nordeste  ; Sergipe  ;21925,424;2288116;90271;81342;334473;79237;12506;416;41995;8362;1496;1858;288;36;15;437;1401;4438;16450;4903;834;55;2794;10583;495,9;504,3;499,8;484,4;560
2017; Nordeste  ; Bahia  ;564760,427;15344447;493468;537718;2079459;570301;122477;756;361001;77024;12304;14765;1588;309;22;4045;10790;32486;107636;32579;8119;144;25086;81770;496;506,4;502;479,5;560
2017; Sudeste  ; Minas Gerais  ;586521,123;21119536;731308;773868;2549399;842697;161416;6153;341130;123959;9097;10987;3162;1138;54;2894;10416;55069;144242;61062;11742;356;30090;125342;523,5;540,3;526,2;528,4;560
2017; Sudeste  ; Espírito Santo  ;46074,447;4016356;137531;172977;504055;123937;37644;85;65043;22369;1657;2173;433;168;2;335;2239;12516;25911;8251;3445;39;3963;25795;519,7;536,8;521,4;520,3;560
2017; Sudeste  ; Rio de Janeiro  ;43750,427;16718956;439114;607627;2019459;573300;171409;538;241103;60519;7324;7680;2269;594;12;1418;7213;38340;103764;45483;11533;81;16899;77620;518,3;542,9;531,7;526,4;560
2017; Sudeste  ; São Paulo  ;248219,481;45094866;1133824;2181206;5276326;1802429;435741;1437;446249;183086;17426;15188;6504;1080;18;2485;18878;140839;264087;112365;23552;149;28202;220857;518,4;541,3;533,8;527,8;560
2017; Sul  ; Paraná  ;199298,979;11320892;287271;466557;1440374;439815;121455;6931;172775;92787;5838;6260;1988;527;71;1204;6906;40105;84211;34094;12022;841;10796;77696;522,5;541,4;528,4;523,7;560
2017; Sul  ; Santa Catarina  ;95730,684;7001161;127087;350848;843520;221744;60770;885;76146;30724;3889;3159;990;273;15;478;4171;30282;44692;17379;5906;129;3567;45217;529,2;545,8;530,8;537,5;560
2017; Sul  ; Rio Grande do Sul  ;281707,156;11322895;294973;425625;1323307;347637;120033;433;162159;83055;6393;6052;1510;502;13;1197;6818;33502;74719;28107;9953;116;11825;71904;520,2;539,1;530,5;526,4;560
2017; Centro-Oeste  ; Mato Grosso do Sul  ;357145,534;2713147;92198;126244;404450;96512;17598;169;47803;19107;1107;1148;427;123;5;289;1248;9262;21782;7736;1614;24;3420;19854;508,8;514,3;511,6;498,2;540
2017; Centro-Oeste  ; Mato Grosso  ;903207,019;3344544;126254;160635;463469;142495;23572;223;80137;21412;1581;1979;628;108;10;520;1936;8340;25704;11617;2291;85;5394;21829;501,4;505,8;500,2;487,5;520
2017; Centro-Oeste  ; Goiás  ;340203,329;6778772;219996;231355;877890;225538;26239;394;79417;33348;2626;3403;951;114;10;895;3318;13921;41190;15161;2267;37;8610;34370;510,1;520,4;513,7;503,8;560
2017; Centro-Oeste  ; Distrito Federal  ;5760,783;3039444;123169;97267;381463;109143;22505;779;52943;16522;722;841;231;47;9;134;934;5564;18522;5407;1260;61;2732;17152;520,1;537,9;529;510,3;560
