COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
1100015;548;3.918;763; -   ; -   ;282;171;11;28;4; -   ; -   ;2;16;43;214;73; -   ; -   ;27;137; -   ; 824 ; 1.449 ; -   ; -   ; 1.128 ; 517 ; -   ; 103 ; -   ; 122 ; -   ; 34 ; -   ; -   ; 12 ; 15 ; -   ; -   ; 6 ; 8 ; -   
1100379;248;2.133;382; -   ; -   ;72;78;2;10;1; -   ; -   ;2;10;14;94;43; -   ; -   ;15;72; -   ; 56 ; 1.099 ; 3 ; -   ; 245 ; 730 ; -   ; 303 ; 57 ; 289 ; 47 ; 17 ; -   ; -   ; 2 ; 7 ; 1 ; -   ; 1 ; 6 ; -   
1100403;252;2.642;519; -   ; -   ;280;105;3;13;1; -   ; -   ;2;10;9;121;29; -   ; -   ;27;95; -   ; 110 ; 1.411 ; -   ; -   ; 581 ; 540 ; -   ; 32 ; 1 ; 28 ; -   ; 2 ; -   ; -   ; 1 ; 11 ; -   ; -   ; 2 ; 8 ; -   
1100346;469;2.167;447; -   ; -   ;341;213;8;10;2; -   ; -   ;2;12;41;127;29; -   ; -   ;19;119; -   ; 246 ; 937 ; -   ; -   ; 555 ; 429 ; -   ; 215 ; 70 ; 226 ; 77 ; 38 ; -   ; -   ; 2 ; 7 ; -   ; -   ; 3 ; 6 ; -   
1100023;3.647;15.678;3.906;961; -   ;2.282;988;26;36;9;3; -   ;11;44;148;630;261;89; -   ;149;714; -   ; 891 ; 7.143 ; 1.229 ; -   ; 4.133 ; 1.705 ; 577 ; 63 ; 6 ; 36 ; 9 ; 3 ; -   ; -   ; 4 ; 21 ; 6 ; -   ; 9 ; 13 ; 5 
1100452;724;5.694;1.185; -   ; -   ;593;401;11;21;4; -   ; -   ;3;18;32;221;71; -   ; -   ;34;220; -   ; -   ; 3.025 ; 115 ; -   ; 2.554 ; -   ; -   ; 67 ; 6 ; 64 ; 4 ; 3 ; 4 ; -   ; -   ; 15 ; 2 ; -   ; 4 ; -   ; -   
1100031;183;955;181; -   ; -   ;55;69;4;7;2; -   ; -   ;2;7;10;59;22; -   ; -   ;11;55; -   ; -   ; 559 ; 5 ; -   ; 391 ; -   ; -   ; 36 ; -   ; 29 ; -   ; 4 ; -   ; -   ; -   ; 3 ; 1 ; -   ; 3 ; -   ; -   
1100601;126;881;149; -   ; -   ;26;35;3;4;1; -   ; -   ;2;4;12;51;41; -   ; -   ;11;67; -   ; -   ; 499 ; -   ; -   ; 290 ; 92 ; -   ; 68 ; -   ; 52 ; -   ; 2 ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; 2 ; -   
1100049;2.615;12.710;3.634;1.288; -   ;1.511;848;28;46;16;5; -   ;4;52;123;546;268;152; -   ;58;644; -   ; 2.068 ; 3.711 ; 1.340 ; -   ; 3.487 ; 1.182 ; 922 ; 97 ; 11 ; 102 ; 12 ; 24 ; -   ; -   ; 16 ; 18 ; 6 ; -   ; 17 ; 12 ; 7 
1100700;366;2.150;365; -   ; -   ;38;54;6;7;2; -   ; -   ;1;7;14;89;50; -   ; -   ;10;82; -   ; -   ; 1.232 ; -   ; -   ; 674 ; 244 ; -   ; 180 ; 23 ; 146 ; 33 ; 19 ; -   ; -   ; -   ; 5 ; -   ; -   ; 2 ; 2 ; -   
1100809;971;4.206;563; -   ; -   ;1.021;128;8;12;3; -   ; -   ;6;16;33;160;38; -   ; -   ;61;140; -   ; 367 ; 2.164 ; -   ; -   ; 1.309 ; 366 ; -   ; 177 ; 24 ; 159 ; 25 ; 10 ; 6 ; -   ; 3 ; 7 ; -   ; -   ; 4 ; 2 ; -   
