COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1100015; 457 ; 3.797 ; 830 ; -   ; -   ; 227 ; 108 ; 10 ; 29 ; 5 ; -   ; -   ; 1 ; 16 ; 41 ; 196 ; 64 ; -   ; -   ; 20 ; 142 
1100379; 284 ; 1.969 ; 430 ; -   ; -   ; 45 ; 62 ; 4 ; 9 ; 1 ; -   ; -   ; 1 ; 9 ; 16 ; 89 ; 31 ; -   ; -   ; 13 ; 71 
1100403; 329 ; 2.405 ; 465 ; -   ; -   ; 295 ; 104 ; 8 ; 11 ; 1 ; -   ; -   ; 2 ; 10 ; 16 ; 121 ; 26 ; -   ; -   ; 31 ; 101 
1100346; 410 ; 2.099 ; 482 ; -   ; -   ; 246 ; 196 ; 7 ; 10 ; 1 ; -   ; -   ; 1 ; 12 ; 40 ; 116 ; 23 ; -   ; -   ; 16 ; 115 
1100023; 3.352 ; 15.297 ; 4.007 ; 954 ; 59 ; 2.176 ; 931 ; 25 ; 35 ; 9 ; 3 ; 1 ; 7 ; 47 ; 152 ; 598 ; 271 ; 93 ; 5 ; 117 ; 722 
1100452; 788 ; 5.406 ; 1.259 ; -   ; -   ; 624 ; 387 ; 12 ; 20 ; 4 ; -   ; -   ; 3 ; 19 ; 37 ; 212 ; 85 ; -   ; -   ; 38 ; 240 
1100031; 189 ; 885 ; 171 ; -   ; -   ; 57 ; 47 ; 4 ; 6 ; 2 ; -   ; -   ; 1 ; 7 ; 9 ; 58 ; 21 ; -   ; -   ; 7 ; 46 
1100601; 70 ; 825 ; 183 ; -   ; -   ; 31 ; 41 ; 3 ; 4 ; 1 ; -   ; -   ; 2 ; 4 ; 11 ; 48 ; 37 ; -   ; -   ; 10 ; 67 
1100049; 2.446 ; 12.404 ; 3.722 ; 1.179 ; 51 ; 1.539 ; 846 ; 29 ; 46 ; 17 ; 6 ; 1 ; 4 ; 54 ; 125 ; 547 ; 278 ; 127 ; 4 ; 51 ; 613 
1100700; 326 ; 1.921 ; 351 ; -   ; -   ; 63 ; 62 ; 6 ; 7 ; 2 ; -   ; -   ; 1 ; 6 ; 17 ; 82 ; 47 ; -   ; -   ; 17 ; 84 
1100809; 828 ; 4.026 ; 631 ; -   ; -   ; 881 ; 142 ; 8 ; 12 ; 3 ; -   ; -   ; 5 ; 17 ; 33 ; 145 ; 45 ; -   ; -   ; 46 ; 131 
1100908; 58 ; 548 ; 128 ; -   ; -   ; -   ; 19 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 3 ; 4 ; 25 ; 8 ; -   ; -   ; -   ; 19 
1100056; 567 ; 2.423 ; 430 ; -   ; -   ; 226 ; 79 ; 7 ; 8 ; 2 ; -   ; -   ; 1 ; 11 ; 36 ; 110 ; 28 ; -   ; -   ; 15 ; 91 
1100924; 365 ; 1.929 ; 425 ; -   ; -   ; -   ; 63 ; 7 ; 11 ; 4 ; -   ; -   ; -   ; 7 ; 20 ; 92 ; 36 ; -   ; -   ; -   ; 84 
1100064; 528 ; 2.355 ; 967 ; 536 ; -   ; 207 ; 294 ; 10 ; 12 ; 3 ; 1 ; -   ; 2 ; 15 ; 46 ; 135 ; 100 ; 61 ; -   ; 24 ; 202 
1100072; 175 ; 1.112 ; 214 ; -   ; -   ; 75 ; 45 ; 3 ; 7 ; 3 ; -   ; -   ; 1 ; 8 ; 10 ; 60 ; 34 ; -   ; -   ; 9 ; 49 
1100080; 441 ; 2.338 ; 473 ; -   ; -   ; 253 ; 133 ; 6 ; 10 ; 2 ; -   ; -   ; 3 ; 14 ; 27 ; 111 ; 52 ; -   ; -   ; 27 ; 123 
1100940; 525 ; 2.793 ; 529 ; -   ; -   ; 243 ; 74 ; 4 ; 7 ; 1 ; -   ; -   ; 2 ; 8 ; 20 ; 110 ; 29 ; -   ; -   ; 27 ; 87 
1100098; 678 ; 4.819 ; 1.075 ; -   ; -   ; 292 ; 261 ; 8 ; 20 ; 6 ; -   ; -   ; 1 ; 19 ; 33 ; 192 ; 87 ; -   ; -   ; 12 ; 197 
1101005; 215 ; 1.343 ; 315 ; -   ; -   ; 40 ; 39 ; 7 ; 12 ; 2 ; -   ; -   ; 1 ; 9 ; 17 ; 78 ; 46 ; -   ; -   ; 14 ; 85 
1100106; 1.324 ; 8.235 ; 1.689 ; 436 ; 32 ; 985 ; 263 ; 17 ; 53 ; 6 ; 1 ; 1 ; 3 ; 27 ; 73 ; 353 ; 115 ; 46 ; 4 ; 47 ; 267 
