CD_GEOCODMU;LONG;LAT
1100015;-61,9998239;-11,9355403
1100023;-63,03326928;-9,908462867
1100031;-60,54431358;-13,49976346
1100049;-61,44294421;-11,43386503
1100056;-60,81842616;-13,19503303
1100064;-60,55506746;-13,13056384
1100072;-60,94870117;-12,99752024
1100080;-64,23165394;-12,43601388
1100098;-61,02017311;-11,52855463
1100106;-65,32395182;-10,77388374
1100114;-62,47623071;-10,43594877
1100122;-61,94509458;-10,88205132
1100130;-61,99959257;-9,42556248
1100148;-62,30823016;-11,72132541
1100155;-62,26105519;-10,7235739
1100189;-61,18366567;-11,67753699
1100205;-63,83144565;-8,76889179
1100254;-61,90943868;-11,17320502
1100262;-62,90001037;-9,70553671
1100288;-61,78578094;-11,72225891
1100296;-61,77330546;-11,90842333
1100304;-60,13858387;-12,74137347
1100320;-62,72006348;-11,69948974
1100338;-65,32914902;-10,41177129
1100346;-62,27727487;-11,34413002
1100379;-61,85307717;-12,13177722
1100403;-63,31762943;-9,716666738
1100452;-63,82967879;-10,20980541
1100502;-61,99438766;-11,70974292
1100601;-62,90318993;-10,33887284
1100700;-63,62499143;-10,56841647
1100809;-63,70002007;-8,785020703
1100908;-61,9491612;-11,42684223
1100924;-60,90184775;-12,55684076
1100940;-62,58717453;-9,378193399
1101005;-62,74045764;-10,61207177
1101104;-63,18233702;-9,191871675
1101203;-61,51892193;-11,19623798
1101302;-62,6694271;-11,04560929
1101401;-63,29555917;-10,26309776
1101435;-62,5550894;-10,91553204
1101450;-61,59799797;-12,17982705
1101468;-61,044379;-13,476562
1101476;-61,31654624;-11,82570695
1101484;-61,51250811;-11,91438935
1101492;-63,57086471;-12,06379841
1101500;-63,038761;-11,76711664
1101559;-62,25592225;-10,93216929
1101609;-62,34514553;-10,24873055
1101708;-62,37063245;-11,12854528
1101757;-62,17682344;-9,851392708
1101807;-62,13439036;-10,43105268
1200013;-67,05231658;-10,07379389
1200054;-69,56345917;-10,94286568
1200104;-68,74794343;-11,01641102
1200138;-67,95185928;-9,820019627
1200179;-67,67350797;-10,56976771
1200203;-72,67253132;-7,630690005
1200252;-68,74486807;-11,02823983
1200302;-70,35398361;-8,16024753
1200328;-71,95087512;-9,19335786
1200336;-72,91650103;-7,593222594
1200344;-69,25994458;-8,836317737
1200351;-72,79026591;-8,953591123
1200385;-67,18826009;-10,33513328
1200393;-72,74233396;-8,266666363
1200401;-67,8105287;-9,978298753
1200427;-72,64785491;-7,733602034
1200435;-70,48649689;-9,443406537
1200450;-67,74317236;-10,14817359
1200500;-68,65568406;-9,065339505
1200609;-70,75550106;-8,155668592
1200708;-68,50629481;-10,65207194
1200807;-67,54059008;-9,600858231
1300029;-64,81353468;-3,216583769
1300060;-68,20961464;-3,366805188
1300086;-61,40590348;-3,576370427
1300102;-61,65895538;-3,745385586
1300144;-59,8856661;-7,197870152
1300201;-70,18798928;-4,36615749
1300300;-59,13356709;-3,578663642
1300409;-62,92566966;-0,972801053
1300508;-57,06775049;-2,798149837
1300607;-70,02734843;-4,374989019
1300631;-61,37157089;-3,89451341
1300680;-57,58770735;-2,971726532
1300706;-67,39957776;-8,751243196
1300805;-59,59455902;-4,390619891
1300839;-61,21133413;-3,330093392
1300904;-64,39423082;-6,529106076
1301001;-66,89663528;-4,881665904
1301100;-60,36380984;-3,82244727
1301159;-59,82631406;-3,197396595
1301209;-63,14218398;-4,084219159
1301308;-62,06342966;-3,843045933
1301407;-69,86629026;-6,667352567
1301506;-70,03041254;-7,439817544
1301605;-66,09650299;-2,512270685
1301654;-72,58243054;-7,547774415
1301704;-63,02669802;-7,512224951
1301803;-71,69441806;-7,050980114
1301852;-60,19338817;-3,281053878
1301902;-58,44017544;-3,140378804
1301951;-68,24791744;-6,437799349
1302009;-58,03454588;-2,741842752
1302108;-66,99690349;-1,880844859
1302207;-66,06304193;-3,474889599
1302306;-66,77132755;-2,744646447
1302405;-64,79477303;-7,261946553
1302504;-60,62058945;-3,298278035
1302553;-60,45888131;-3,429079669
1302603;-60,02333518;-3,134691491
1302702;-61,29924841;-5,813205261
1302801;-65,5742837;-1,866436877
1302900;-57,71503439;-3,386427926
1303007;-56,71676991;-2,188983767
1303106;-59,09307403;-3,887592832
1303205;-60,94881071;-2,623432459
1303304;-60,37704567;-5,122669314
1303403;-56,73629215;-2,627052586
1303502;-67,00209749;-7,714043644
1303536;-60,02564683;-2,058429085
1303569;-59,70473809;-2,693301542
1303601;-65,02002264;-0,416694832
1303700;-67,94648514;-3,107486309
1303809;-67,0836429;-0,136462788
1303908;-68,94485349;-3,466509623
1303957;-57,87034636;-2,57015258
1304005;-58,21480086;-2,83642743
1304062;-69,94624438;-4,231883676
1304104;-63,18709487;-5,624223518
1304203;-64,70841966;-3,348372494
1304237;-67,77648228;-2,86109125
1304260;-65,15534564;-2,983609243
1304302;-57,75982817;-2,536611672
1304401;-58,15964104;-3,134633116
1400027;-61,42059017;3,652118445
1400050;-61,31402239;2,993822948
1400100;-60,67053267;2,816681919
1400159;-59,87800663;3,350288619
1400175;-60,60206285;2,607666398
1400209;-61,14917687;1,803871247
1400233;-59,69481007;0,872674507
1400282;-61,05225859;2,168214765
1400308;-60,91151853;2,479772235
1400407;-59,63520628;3,882978285
1400456;-61,14730635;4,47525934
1400472;-60,42506049;0,937195394
1400506;-59,90604435;0,947157427
1400605;-60,02826677;1,018111627
1400704;-60,19571615;4,585440388
1500107;-48,88440382;-1,723469863
1500131;-48,39676213;-4,951390896
1500206;-48,20045643;-1,9634365
1500305;-50,39142759;-0,159171694
1500347;-50,48527451;-6,804948867
1500404;-54,74086235;-1,951397505
1500503;-52,57683509;-1,527338803
1500602;-52,21437631;-3,20565951
1500701;-49,94500104;-0,984451394
1500800;-48,37206665;-1,368713568
1500859;-51,2016218;-3,476104635
1500909;-46,64164579;-1,02292101
1500958;-47,5561746;-2,129376013
1501006;-55,33073439;-3,605595259
1501105;-50,22198692;-1,88980806
1501204;-49,67275337;-2,791961861
1501253;-50,40604712;-7,351072192
1501303;-48,62707289;-1,505767005
1501402;-48,48782569;-1,459845
1501451;-54,94267474;-2,649020169
1501501;-48,24183645;-1,361437515
1501576;-48,59903996;-5,047362704
1501600;-47,30589182;-1,367474357
1501709;-46,76575421;-1,053523956
1501725;-52,54344119;-3,297803704
1501758;-48,40576042;-5,707296154
1501782;-49,56987968;-3,778135413
1501808;-50,4808948;-1,6907365
1501907;-48,03587501;-1,513991462
1501956;-46,54739142;-1,752897005
1502004;-48,96066758;-1,008786266
1502103;-49,49783017;-2,24683848
1502152;-49,84895843;-6,532196616
1502202;-47,17512612;-1,192441995
1502301;-47,06282538;-1,746187293
1502400;-47,92664314;-1,295756805
1502509;-49,98931861;-0,16243729
1502608;-48,28872843;-0,932091244
1502707;-49,26450081;-8,26486353
1502756;-47,94988694;-1,984521463
1502764;-50,77157838;-7,811106537
1502772;-49,60221422;-6,096819952
1502806;-49,79152285;-1,80942342
1502855;-55,11967861;-1,889928704
1502905;-47,85126509;-0,73249551
1502939;-47,55591489;-4,29077772
1502954;-49,37395194;-6,103525161
1503002;-56,74575302;-2,172975242
1503044;-49,69757841;-7,558700872
1503077;-47,04504602;-1,931697043
1503093;-49,10104492;-3,842468
1503101;-51,64369572;-1,404918
1503200;-47,62237549;-1,124322
1503309;-48,96229947;-1,983116
1503408;-47,91339275;-1,426581981
1503457;-47,49971759;-2,5575285
1503507;-47,44075561;-1,771474995
1503606;-55,99004886;-4,26372948
1503705;-49,32442586;-5,128837026
1503754;-57,76633986;-6,223551731
1503804;-49,11278156;-4,448405475
1503903;-56,09499769;-2,155252995
1504000;-49,3815339;-1,8919485
1504059;-47,55229018;-2,047707441
1504109;-47,5991819;-0,795850156
1504208;-49,14202533;-5,352605763
1504307;-47,45526796;-0,76241946
1504406;-47,70254875;-0,712150996
1504422;-48,34053588;-1,346417266
1504455;-52,88834535;-3,445417412
1504505;-50,7174647;-1,803446699
1504604;-49,50902346;-2,582872973
1504703;-48,76719913;-1,885889
1504802;-54,07337473;-2,003328
1504901;-49,21683244;-1,530026208
1504950;-46,96209288;-2,267625989
1504976;-49,07988694;-4,923086307
1505007;-47,39320228;-1,204143647
1505031;-55,41987012;-7,034835913
1505064;-49,94863824;-4,2481485
1505106;-55,51632351;-1,909235496
1505205;-49,85510611;-2,004734
1505304;-55,86279952;-1,7637535
1505403;-47,11761936;-1,548947142
1505437;-51,09083277;-6,740617086
1505486;-50,63484083;-3,830305704
1505494;-48,32179373;-5,749934106
1505502;-47,35696156;-2,9941905
1505536;-49,90078063;-6,072729888
1505551;-50,04827553;-7,836794404
1505601;-47,31792702;-1,189569241
1505635;-48,86840067;-6,453676235
1505650;-54,21696813;-3,867315562
1505700;-48,87178556;-1,396599998
1505809;-50,82249044;-1,936451
1505908;-52,24247692;-1,746090089
1506005;-53,48181394;-1,8056945
