tree,forest,svr,mlp,gr
-0.535695439572838,-0.5302591411012946,-0.5138812832935661,-0.5228134146189212,-0.513194410454837
-0.5348610885565628,-0.5292148627703116,-0.5145829233741479,-0.5225075269297444,-0.5131585974852174
-0.5327723246407351,-0.5282747136667137,-0.5146272771156299,-0.522217438693034,-0.5131419253469408
-0.5341719388117985,-0.5276017329889362,-0.515729815045824,-0.521913958137096,-0.5131575886674696
-0.5324746141525716,-0.5264811999733661,-0.5161841443270174,-0.5217337639700163,-0.5130618334830798
-0.5349138343251217,-0.5258409666866795,-0.5174353987640691,-0.5214661544586187,-0.5131034631420832
-0.5335161540300656,-0.5249141967162833,-0.5181112455774185,-0.5210390894442545,-0.513053235664929
-0.5326951513787237,-0.5240844081009218,-0.5182085315135866,-0.520664148748281,-0.5129890995428343
-0.5318093970413855,-0.5232998923797124,-0.5185929210771376,-0.5202988503279542,-0.5129543299640635
-0.5318066660845702,-0.5225737778779355,-0.518809252013859,-0.5199269921593268,-0.512924274071022
-0.5309085770296015,-0.5218520436316647,-0.518841389000359,-0.5195067618684929,-0.5128614856232139
-0.5304714615204865,-0.520959651419594,-0.5192954083625146,-0.5190281203563976,-0.5127513613665501
-0.531648689111528,-0.5206570562167946,-0.5200582778127025,-0.5187105046430662,-0.512840883000063
-0.5316253237390481,-0.520250880540668,-0.5201636222310103,-0.518375363785121,-0.5128783362329458
-0.5321061640894064,-0.5198460116992648,-0.5203231513151004,-0.5180311452368025,-0.5128960528671872
-0.5317872317314657,-0.5191702446011638,-0.5202837057042808,-0.5176261274280749,-0.5128573313427134
-0.5313408050964267,-0.5185350672829745,-0.520224424362073,-0.5172012183606429,-0.5128215483747072
-0.5307948598104616,-0.5178640596029306,-0.5203974415958975,-0.516842162154529,-0.51272376025005
-0.5308160225651942,-0.5173907690365275,-0.5207949577501443,-0.5165145961718758,-0.5126703549834243
-0.530786365161281,-0.5170603316954766,-0.5208765215678163,-0.5162373784962342,-0.512686666968176
-0.5306314394056676,-0.5166446266417675,-0.5207906748651536,-0.5158920777927894,-0.512682758394612
-0.5303136024443987,-0.5160550741400622,-0.520666364753976,-0.5155229780248052,-0.512581890341172
-0.530242977593877,-0.5155803726986494,-0.520696281158364,-0.515202307416023,-0.5125555819212584
-0.5303171199198379,-0.5153189789076918,-0.520729208854833,-0.5148857190368238,-0.5125516621703681
-0.5302560370770757,-0.5148667247720098,-0.5206899135713454,-0.5145597167107933,-0.51248301578362
-0.5301028286378537,-0.5144654471571727,-0.5208609072962743,-0.5142170114670437,-0.5124310278728529
-0.5306923354511627,-0.514403605349471,-0.5219821797783518,-0.5140011189224991,-0.5124834586698943
-0.5310803234923622,-0.5141723155412123,-0.5222721989662265,-0.5137582479941821,-0.512527498787172
-0.5313946037959782,-0.5140394114433707,-0.5227900373683925,-0.5135482714421072,-0.5125680979625222
-0.5314830218173388,-0.5136275818080895,-0.5231160863814879,-0.5132157192881819,-0.5125553389288762
